"period_begin","period_end","period_duration","region_type","region_type_id","table_id","is_seasonally_adjusted","region","city","state","state_code","property_type","property_type_id","median_sale_price","median_sale_price_mom","median_sale_price_yoy","median_list_price","median_list_price_mom","median_list_price_yoy","median_ppsf","median_ppsf_mom","median_ppsf_yoy","median_list_ppsf","median_list_ppsf_mom","median_list_ppsf_yoy","homes_sold","homes_sold_mom","homes_sold_yoy","pending_sales","pending_sales_mom","pending_sales_yoy","new_listings","new_listings_mom","new_listings_yoy","inventory","inventory_mom","inventory_yoy","months_of_supply","months_of_supply_mom","months_of_supply_yoy","median_dom","median_dom_mom","median_dom_yoy","avg_sale_to_list","avg_sale_to_list_mom","avg_sale_to_list_yoy","sold_above_list","sold_above_list_mom","sold_above_list_yoy","price_drops","price_drops_mom","price_drops_yoy","off_market_in_two_weeks","off_market_in_two_weeks_mom","off_market_in_two_weeks_yoy","parent_metro_region","parent_metro_region_metro_code","last_updated"
"2012-12-01","2012-12-31",30,"place",6,17151,"f","San Francisco, CA","San Francisco","California","CA","Condo/Co-op",3,720000,-0.064935064935065,0.111969111969112,650000,-0.18648310387985,0.150442477876106,703.947368421053,-0.0301696841334956,0.177101766723348,540.04329004329,-0.110320813370174,0.209077653997379,229,-0.0576131687242798,0.316091954022989,179,-0.235042735042735,0.387596899224806,79,-0.588541666666667,-0.150537634408602,178,-0.434920634920635,-0.529100529100529,0.8,-0.5,-1.4,23,8,-16,1.01453846432222,-0.01316194583698,0.0296920354154515,0.475982532751092,-0.0836882491419124,0.217361843095919,0.112359550561798,-0.0781166399143927,-0.0701801319778848,0.430167597765363,0.0412787088764742,0.189857520245983,"San Francisco, CA",41884,"2023-02-12 14:58:17"
"2014-02-01","2014-02-28",30,"place",6,9170,"f","Indianapolis, IN","Indianapolis","Indiana","IN","All Residential",-1,98500,-0.0551558752997602,0.149358226371062,119900,0.0900000000000001,0.0909918107370338,55.8457490149968,-0.0344668893514302,0.101948937091188,65.9969555830483,0.0586128709047351,0.0622404892415276,678,0.153061224489796,-0.156716417910448,288,-0.0557377049180328,-0.165217391304348,877,0.134540750323415,-0.271594684385382,4829,-0.0281746830348159,-0.0972144326042251,7.1,-1.4,0.399999999999999,117,16,12,0.951120878123684,-0.0106592057251544,0.00663309174008742,0.125368731563422,-0.0106856902052857,0.00472196539426759,NA,NA,NA,0.0729166666666667,0.00406420765027322,0.0613224637681159,"Indianapolis, IN",26900,"2023-02-12 14:58:17"
"2019-02-01","2019-02-28",30,"place",6,4664,"f","Columbus, OH","Columbus","Ohio","OH","All Residential",-1,170000,0.101749837977965,0.103896103896104,169900,0,0.0625390869293307,110.208185997171,0.0515206708112292,0.0573765993379383,114.952638700947,0.0154690265993664,0.0866612117243162,796,0.0571049136786188,0.0284237726098191,680,0.0134128166915053,0.0210210210210211,895,-0.051906779661017,-0.126829268292683,1927,-0.0316582914572864,0.0652294085129905,2.4,-0.2,0.1,49,-7,2,0.97970800236554,0.00977350983856407,-0.00310403599403652,0.24748743718593,0.0642205049150133,0.00976133899471518,0.158796056045667,-0.0356763057633784,0.0454737785442849,0.254411764705882,0.0472582624704129,-0.0624050521109345,"Columbus, OH",18140,"2023-02-12 14:58:17"
"2013-01-01","2013-01-31",30,"place",6,8907,"f","Jacksonville, FL","Jacksonville","Florida","FL","Condo/Co-op",3,75000,0.102941176470588,0.209677419354839,134900,0.27565011820331,0.12992457397488,66.4791666666667,0.161908101851852,0.28033950617284,78.5653043726779,0.163035104046822,0.117185049419919,75,-0.427480916030534,-0.175824175824176,37,-0.383333333333333,0,118,0.123809523809524,-0.186206896551724,585,0.0317460317460319,-0.105504587155963,7.8,3.5,0.6,108,7,-11,0.981478370935765,0.0137242026927535,0.0463771765013961,0.293333333333333,0.0337913486005089,0.139487179487179,NA,NA,NA,0.0540540540540541,-0.0459459459459459,-0.027027027027027,"Jacksonville, FL",27260,"2023-02-12 14:58:17"
"2012-02-01","2012-02-29",30,"place",6,30827,"f","Fort Worth, TX","Fort Worth","Texas","TX","Multi-Family (2-4 Unit)",4,55450,-0.178518518518519,-0.0762567156719837,135000,0.0173323285606632,0.0392609699769053,32.7629666636388,0.102297816371387,0.132389753796007,68.1476418318524,0.00902223281030734,0.0323764442813079,8,-0.2,-0.2,8,-0.111111111111111,0,19,-0.296296296296296,0.117647058823529,99,0.010204081632653,-0.34,12.4,2.6,-2.6,25,-12,-30,0.95866689046222,0.0139107573728202,-0.0402632242499129,0.25,-0.05,0.05,0.161616161616162,0.059575345289631,0.00828282828282831,0.125,0.0138888888888889,-0.125,"Fort Worth, TX",23104,"2023-02-12 14:58:17"
"2019-08-01","2019-08-31",30,"place",6,8907,"f","Jacksonville, FL","Jacksonville","Florida","FL","All Residential",-1,207990,-0.0142654028436019,0.0946842105263157,209900,0.0239024390243903,0.0521303258145362,123.21392120841,0.00288001519489556,0.0605104363301237,123.328025477707,-0.0129365747168828,0.0382908202559364,1540,0.0104986876640421,0.0171730515191546,1271,-0.0493642483171279,-0.0543154761904762,1726,-0.0352152040245948,-0.120285423037717,4112,-0.0174432497013142,-0.051441753171857,2.7,0,-0.2,38,-1,2,0.979150773551974,0.00379143555943939,0.00662818890703232,0.158441558441558,0.00489825135494426,0.0118101185472388,0.310068093385214,0.0106654649503275,0.0217174590138184,0.300550747442958,-0.0143333213678121,-0.0394790144618036,"Jacksonville, FL",27260,"2023-02-12 14:58:17"
"2017-07-01","2017-07-31",30,"place",6,16657,"f","San Antonio, TX","San Antonio","Texas","TX","Condo/Co-op",3,1e+05,-0.0909090909090909,-0.145299145299145,197500,0.013397369784852,0.0623991393222163,104.737206239107,-0.0245064124789088,-0.074415386724174,108.542428915106,0.0176977526011954,0.0802220100112883,54,-0.142857142857143,-0.0847457627118644,59,0.113207547169811,0.134615384615385,47,-0.477777777777778,-0.38961038961039,179,-0.143540669856459,-0.316793893129771,3.3,0,-1.1,36,-1,-20,0.960142041700949,-0.00983157877065099,-0.00986013828359045,0.111111111111111,0.0317460317460317,-0.0244821092278719,0.279329608938547,0.0831573601347197,0.141925028785876,0.220338983050847,-0.138151582986888,0.00880052151238592,"San Antonio, TX",41700,"2023-02-12 14:58:17"
"2019-09-01","2019-09-30",30,"place",6,11203,"f","Los Angeles, CA","Los Angeles","California","CA","All Residential",-1,749000,0.019047619047619,0.0808080808080809,8e+05,0.0667377825188347,0.032258064516129,481.927710843374,0.0073627844712183,0.0259907554747292,514.617940199336,0.0522161131815913,0.0429327422788484,2178,-0.105176663927691,0.112359550561798,1902,-0.113286713286713,0.0209339774557167,2825,-0.00422982023264007,-0.0654978498180615,7797,-0.00217558228820069,0.0189492943021432,3.6,0.4,-0.3,51,1,13,0.994957401278001,0.00189260058602203,-0.00350849034089096,0.372359963269054,0.0116368737045513,-0.0316236935235913,0.180967038604592,-0.0044693576073358,-0.0306116336379595,0.21608832807571,0.00723051921790091,-0.0592739907648699,"Los Angeles, CA",31084,"2023-02-12 14:58:17"
"2020-02-01","2020-02-29",30,"place",6,16904,"f","San Diego, CA","San Diego","California","CA","Townhouse",13,590000,0.0925925925925926,0.145631067961165,696000,0.0318754633061527,0.0799069045771916,412.337639985313,0.0417872432749946,0.125614073800911,479.919678714859,0.00317265145739776,0.0660730573850503,84,0.217391304347826,0.448275862068966,101,0.507462686567164,0.442857142857143,127,0.245098039215686,0.257425742574257,140,0.102362204724409,-0.171597633136095,1.7,-0.1,-1.2,30,-9,-5,0.996354296935724,0.00148538145321342,0.0148458871997654,0.345238095238095,0.0408902691511387,0.190065681444992,0.142857142857143,-0.0539932508436446,-0.182586644125106,0.683168316831683,0.145854883995862,0.254596888260255,"San Diego, CA",41740,"2023-02-12 14:58:17"
"2020-09-01","2020-09-30",30,"place",6,5155,"f","Denver, CO","Denver","Colorado","CO","Multi-Family (2-4 Unit)",4,730000,0.269565217391304,-0.168091168091168,489000,-0.0180722891566265,0.0747252747252747,251.677852348993,-0.116485594571545,-0.102778696378924,313.008130081301,-0.010408563232344,0.0531252164699978,7,-0.461538461538462,-0.3,11,0.375,0.833333333333333,13,0.0833333333333333,0.3,22,0,-0.241379310344828,3.1,1.4,0.2,34,-54,-69,0.979838150526701,0.0120781878973053,0.00496193817951385,0.142857142857143,-0.010989010989011,0.142857142857143,0.363636363636364,-0.318181818181818,-0.25705329153605,0.636363636363636,0.386363636363636,0.46969696969697,"Denver, CO",19740,"2023-02-12 14:58:17"
